ID,Qualifications,Employment_Type,Age,Pincode,Gender,Product_Code,Loan_Amount,LTV,Resident_Type,Net_salary,Final_Tier,Make_Code,Model_Description,Model_Variant,PAST_LOANS_ACTIVE,Decision
1,SSC,AGR,47,502110,Male,MO,59300,69.76,O,39000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
2,UG,SAL,30,503002,Male,MC,153839,84.99,O,25000,05 Urban,APACHE,APACHE 200 4V 2CH - R MODE BSVI,RTR 200CC,PAST_LOANS_ACTIVE,APPROVED
3,GRAD,NREGI,24,500090,Male,SC,77958,64.97,R,35000,04 Metro,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,PAST_LOANS_ACTIVE,APPROVED
4,UG,SAL,44,501141,Male,SC,99921,84.68,O,25000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
5,SSC,SAL,41,509334,Male,SC,96482,75.38,O,35000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
6,SSC,NREGI,24,509210,Male,SC,87180,73.88,O,50000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
7,SSC,AGR,44,502103,Female,MC,85009,66.94,O,28000,06 Semi-Urban,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
8,OTHERS,NREGI,30,535524,Male,MO,59931,74.46,O,30000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
9,SSC,STU,20,502114,Male,MC,98672,80.88,O,0,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
10,SSC,SEP,34,509210,Female,MC,70171,52.96,O,50000,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,NO_PAST_LOANS,APPROVED
11,GRAD,AGR,46,501158,Male,MC,90425,74.12,O,40000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
12,OTHERS,NREGI,37,530040,Male,MC,76925,82.36,O,32000,04 Metro,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,NO_PAST_LOANS,APPROVED
13,UG,SAL,19,497001,Female,EB,119665,70.96,O,35000,07 Rural,TVS,TVS IQUBE UG,EBIKE,NO_PAST_LOANS,APPROVED
14,GRAD,SAL,23,533435,Male,MC,119469,58.04,O,35000,07 Rural,RONIN,TVS RONIN 2CH MID SPL BSVI,RONIN,PAST_LOANS_ACTIVE,APPROVED
15,OTHERS,AGR,44,721155,Male,MC,136724,80.95,O,40000,07 Rural,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,NO_PAST_LOANS,APPROVED
16,OTHERS,SEP,38,502281,Female,MC,112978,85.26,O,40000,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
17,PG,SAL,25,785671,Female,SC,97826,82.01,O,32800,06 Semi-Urban,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
18,SSC,AGR,33,783392,Male,MC,90801,84.86,O,35000,07 Rural,RADEON,TVS RADEON BSVI DIGI DISC DUAL TONE,RADEON,NO_PAST_LOANS,APPROVED
19,SSC,AGR,24,502312,Male,MC,46591,38.19,O,35000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
20,OTHERS,NREGI,39,535524,Male,SC,108148,87.28,O,30000,07 Rural,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
21,HSC,SEP,27,784103,Female,SC,66344,54.88,O,38000,07 Rural,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
